Unnamed: 0,id,transcription,has_word,trans_file,filename,alignment_filename,word_start,word_end,split,duration
777,6930-81414-0016,BUT THAT IS KAFFAR'S KNIFE,False,/mnt/data/LibriSpeech24K/test-clean/6930/81414/6930-81414.trans.txt,/mnt/data/LibriSpeech24K/test-clean/6930/81414/6930-81414-0016.flac,/mnt/data/LibriSpeech24K/test-clean/6930/81414/6930-81414-0016.TextGrid,,,test-clean,2.16
911,7127-75946-0012,THE NEWS CIRCULATED WITH THE RAPIDITY OF LIGHTNING DURING ITS PROGRESS IT KINDLED EVERY VARIETY OF COQUETRY DESIRE AND WILD AMBITION,False,/mnt/data/LibriSpeech24K/test-clean/7127/75946/7127-75946.trans.txt,/mnt/data/LibriSpeech24K/test-clean/7127/75946/7127-75946-0012.flac,/mnt/data/LibriSpeech24K/test-clean/7127/75946/7127-75946-0012.TextGrid,,,test-clean,9.87
1721,1221-135767-0021,PEARL ACCORDINGLY RAN TO THE BOW WINDOW AT THE FURTHER END OF THE HALL AND LOOKED ALONG THE VISTA OF A GARDEN WALK CARPETED WITH CLOSELY SHAVEN GRASS AND BORDERED WITH SOME RUDE AND IMMATURE ATTEMPT AT SHRUBBERY,False,/mnt/data/LibriSpeech24K/test-clean/1221/135767/1221-135767.trans.txt,/mnt/data/LibriSpeech24K/test-clean/1221/135767/1221-135767-0021.flac,/mnt/data/LibriSpeech24K/test-clean/1221/135767/1221-135767-0021.TextGrid,,,test-clean,12.72
2197,4446-2275-0041,YOU SEE LOVING SOME ONE AS I LOVE YOU MAKES THE WHOLE WORLD DIFFERENT,False,/mnt/data/LibriSpeech24K/test-clean/4446/2275/4446-2275.trans.txt,/mnt/data/LibriSpeech24K/test-clean/4446/2275/4446-2275-0041.flac,/mnt/data/LibriSpeech24K/test-clean/4446/2275/4446-2275-0041.TextGrid,,,test-clean,4.755
149,2830-3979-0011,THE LORD WHO HAS GIVEN US POWER TO TEACH AND TO HEAR LET HIM ALSO GIVE US THE POWER TO SERVE AND TO DO LUKE TWO,False,/mnt/data/LibriSpeech24K/test-clean/2830/3979/2830-3979.trans.txt,/mnt/data/LibriSpeech24K/test-clean/2830/3979/2830-3979-0011.flac,/mnt/data/LibriSpeech24K/test-clean/2830/3979/2830-3979-0011.TextGrid,,,test-clean,9.45
2464,1580-141083-0013,ABOVE ALL THINGS I DESIRE TO SETTLE THE MATTER QUIETLY AND DISCREETLY,False,/mnt/data/LibriSpeech24K/test-clean/1580/141083/1580-141083.trans.txt,/mnt/data/LibriSpeech24K/test-clean/1580/141083/1580-141083-0013.flac,/mnt/data/LibriSpeech24K/test-clean/1580/141083/1580-141083-0013.TextGrid,,,test-clean,4.32
1128,7021-79740-0013,PUT THESE PLAYTHINGS ALL AWAY QUICK AND CAREFULLY AND WE WILL NOT LET THEM KNOW ANY THING ABOUT YOUR LEAVING THEM OUT,False,/mnt/data/LibriSpeech24K/test-clean/7021/79740/7021-79740.trans.txt,/mnt/data/LibriSpeech24K/test-clean/7021/79740/7021-79740-0013.flac,/mnt/data/LibriSpeech24K/test-clean/7021/79740/7021-79740-0013.TextGrid,,,test-clean,7.365
1392,260-123440-0020,WE WON'T TALK ABOUT HER ANY MORE IF YOU'D RATHER NOT WE INDEED,False,/mnt/data/LibriSpeech24K/test-clean/260/123440/260-123440.trans.txt,/mnt/data/LibriSpeech24K/test-clean/260/123440/260-123440-0020.flac,/mnt/data/LibriSpeech24K/test-clean/260/123440/260-123440-0020.TextGrid,,,test-clean,4.995
2343,5683-32865-0011,WHEREUPON LAKE LAUGHED QUIETLY STILL LOOKING ON THE ACE OF HEARTS WITH HIS SLY EYES,False,/mnt/data/LibriSpeech24K/test-clean/5683/32865/5683-32865.trans.txt,/mnt/data/LibriSpeech24K/test-clean/5683/32865/5683-32865-0011.flac,/mnt/data/LibriSpeech24K/test-clean/5683/32865/5683-32865-0011.TextGrid,,,test-clean,6.355
2592,1089-134686-0010,WELL NOW ENNIS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK,False,/mnt/data/LibriSpeech24K/test-clean/1089/134686/1089-134686.trans.txt,/mnt/data/LibriSpeech24K/test-clean/1089/134686/1089-134686-0010.flac,/mnt/data/LibriSpeech24K/test-clean/1089/134686/1089-134686-0010.TextGrid,,,test-clean,4.405
